input_ids,labels_0.5,labels,labels_2
-,-100,-100,-100
W, The, The, The
AN,.,.,.
:,TS,TS,TS
 We, The, The, The
've,'re,'re,'re
 got, had, had, heard
 to, $, $, $
 split, talk, address, address
 them, the, the, the
 up, —, nationally, dates
.,",",",",","
 AN,"
","
","
"
AK,-100,-100,-100
IN,-100,-100,-100
:,ei,ei,ei
 Break, Russ, Russ, Russ
 left, it, it, it
",", wing, wing, wing
 fly, right, right, right
 through, right, right, right
 the, to, right, right
 guns, air, air, air
 on,.,.,.
 that, TV, TV, TV
 tower,.,",",","
.,…,…,…
 O, We, We, We
BI,-100,-100,-100
-,-100,-100,-100
W,-100,-100,-100
AN,-100,-100,-100
 flies,:,:,:
 to, through, through, through
 the, the, the, the
 left, tower, tower, tower
 of, to,".""","."""
 a, the, the, the
 huge, tower, tower, tower
 tower, tower, tower, tower
 on, [, [, offensively
 a, Mars, Mars, Mars
 RE, way, way, plane
PU,-100,-100,-100
BLIC,-100,-100,-100
 CR,.,.,.
U,U,U,U
IS,.,.,.
ER,ING,ING,ING
., plane, plane, plane
 The, He, He, He
 TWO, first, first, first
 ,-,-,-
DR,ills,ills,ills
O,-100,-100,-100
ID,-100,-100,-100
 DR, Wars, Wars, Wars
OP, consists, consists, depot
 FIGHT, is, is, is
ERS,.,.,.
 follow,-,-,-
., the, the, the
 O,-100,-100,-100
BI,-100,-100,-100
-,-100,-100,-100
W,-100,-100,-100
AN,-100,-100,-100
:, Jack, Jack, Jack
 Easy, Dude, Dude,Alex
 for,.,.,.
 you, Mr, Mr, Mr
 to, Russ, Russ, Russ
 say, compare, compare, Anthem
 .,.,.,.
 .,50, Jack,HAM
 .,<|endoftext|>, Steve, Geoff
 why, ., ., .
 am,?,?,?
 I, I, I, I
 always, writing, writing, writing
 the, pissed, pissed, pissed
 bait, one, one, one
?,?,?,?
 AN,-100,-100,-100
AK,-100,-100,-100
IN,-100,-100,-100
:,:,:,:
 Don, I, I, I
't,'t,'t,'t
 worry, fuck, seriously, definitely
.,",",",",","
 I, You, You, You
'm, definitely, definitely, honestly
 coming, acting, acting, acting
 around,.', date, copyright
 behind, Christmas, Games, Games
 you, me,.,.
.,.,.,.
 O,-100,-100,-100
BI,-100,-100,-100
-,-100,-100,-100
W,-100,-100,-100
AN,-100,-100,-100
 deft,:,:,:
ly,ened,ened,ened
 maneuvers, invites, reprim, invite
 around, the, the, the
 a, you, you, you
 large, large, large, large
 Starship, tower, tower, tower
's,.,.,.
 superst, air, air, air
ructure,-100,-100,-100
",", successfully, Grey, Grey
 but, shielding, shielding, providing
 the, you, you, you
 TWO, two, two, two
 DR, robots, robots, robots
O,-100,-100,-100
ID,-100,-100,-100
 FIGHT,-100,-100,-100
ERS,ERS,ERS,ERS
 stay, follow, follow, follow
 on, silent, silent, informed
 his, successfully, covert, sim
 tail, side, side, way
",",…, Dragon, Dragon
 BL, launch, launch, launch
AST,-100,-100,-100
ING, Module, Facility, Facility
 him, Machine, Device, Exercise
 with, airborne, Company, Ops
 intense, Project, Project, Project
 laser, strength, strength, strength
 fire, of, of, of
., capability, Ops, Ops
 O,-100,-100,-100
BI,-100,-100,-100
-,-100,-100,-100
W,-100,-100,-100
AN,-100,-100,-100
:,:,:,:
 An, OK, OK, OK
akin,-100,-100,-100
",", Cage, coasts, coasts
 they, you, you, you
're, encounter, speculate, speculate
 all, pissed, pissed, pissed
 over, literally, literally, literally
 me, Mars, Mars, Mars
!,…, Mars, Mars
 AN,-100,-100,-100
AK,-100,-100,-100
